# Table 1 from Silva Aguirre et al. (2018). https://ui.adsabs.harvard.edu/abs/2018MNRAS.475.5487S/abstract submit data cleaning bugs to GalacticCEM@gmail.com
#J/MNRAS/475/5487    Stellar properties of KIC stars       (Silva Aguirre+, 2018)
#================================================================================
#Confirming chemical clocks:
#asteroseismic age dissection of the Milky Way disc(s).
#    Silva Aguirre V., Bojsen-Hansen M., Slumstrup D., Casagrande L., Kawata D.,
#    Ciuca I., Handberg R., Lund M.N., Mosumgaard J.R., Huber D., Johnson J.A.,
#    Pinsonneault M.H., Serenelli A.M., Stello D., Tayar J., Bird J.C.,
#    Cassisi S., Hon M., Martig M., Nissen P.E., Rix H.W., Schonrich R.,
#    Sahlholdt C., Trick W.H., Yu J.
#   <Mon. Not. R. Astron. Soc., 475, 5487-5500 (2018)>
#   =2018MNRAS.475.5487S    (SIMBAD/NED BibCode)
#================================================================================
#ADC_Keywords: Stars, giant ; Stars, masses ; Stars, diameters ; Stars, ages ;
#              Stars, distances
#Keywords: asteroseismology - stars: fundamental parameters -
#          stars: kinematics and dynamic - Galaxy: disc - Galaxy: evolution -
#          Galaxy: structure
#
#Abstract:
#    Investigations of the origin and evolution of the Milky Way disc have
#    long relied on chemical and kinematic identifications of its
#    components to reconstruct our Galactic past. Difficulties in
#    determining precise stellar ages have restricted most studies to small
#    samples, normally confined to the solar neighbourhood. Here, we break
#    this impasse with the help of asteroseismic inference and perform a
#    chronology of the evolution of the disc throughout the age of the
#    Galaxy. We chemically dissect the Milky Way disc population using a
#    sample of red giant stars spanning out to 2 kpc in the solar annulus
#    observed by the Kepler satellite, with the added dimension of
#    asteroseismic ages. Our results reveal a clear difference in age
#    between the low- and high-{alpha} populations, which also show
#    distinct velocity dispersions in the V and W components. We find no
#    tight correlation between age and metallicity nor [{alpha}/Fe] for the
#    high-{alpha} disc stars. Our results indicate that this component
#    formed over a period of more than 2 Gyr with a wide range of [M/H] and
#    [{alpha}/Fe] independent of time. Our findings show that the kinematic
#    properties of young {alpha}-rich stars are consistent with the rest of
#    the high-{alpha} population and different from the low-{alpha} stars
#    of similar age, rendering support to their origin being old stars that
#    went through a mass transfer or stellar merger event, making them
#    appear younger, instead of migration of truly young stars formed close
#    to the Galactic bar.
#
#Description:
#    The set of stars considered in this study are the 1989 red giants
#    comprising the first combined APOGEE and Kepler catalogues, in which
#    the Kepler spacecraft detected oscillations during its nominal
#    mission.
#
#    We determined stellar properties for the APOKASC sample combining the
#    photometric, spectroscopic, and asteroseismic observables using the
#    BAyesian STellar Algorithm (BASTA, Silva Aguirre et al. 2015, Cat.
#    J/MNRAS/452/2127, 2017, Cat. J/ApJ/835/173).
#
#File Summary:
#--------------------------------------------------------------------------------
# FileName      Lrecl  Records   Explanations
#--------------------------------------------------------------------------------
#ReadMe            80        .   This file
#table1.dat        99     1197   Stellar properties determined with BASTA for
#                                 the APOKASC sample
#--------------------------------------------------------------------------------
#
#See also:
#             V/133 : Kepler Input Catalog (Kepler Mission Team, 2009)
#  J/MNRAS/452/2127 : Fundamental parameters of Kepler stars
#                                                    (Silva Aguirre+, 2015)
# J/ApJ/835/173     : Kepler asteroseismic LEGACY sample. II.
#                                                    (Silva Aguirre+, 2017)
#
#Byte-by-byte Description of file: table1.dat
#--------------------------------------------------------------------------------
#   Bytes Format Units     Label     Explanations
#--------------------------------------------------------------------------------
#   1-  8  I8    ---       KIC       Kepler Input Catalogue Identifier
#  10- 14  F5.3  Msun      Mass      Mass
#  16- 20  F5.3  Msun    e_Mass      rms uncertainty on Mass
#  22- 27  F6.3  Rsun      Rad       Radius
#  29- 33  F5.3  Rsun    e_Rad       rms uncertainty on Rad
#  35- 39  F5.3  [cm/s2]   logg      Surface gravity
#  41- 45  F5.3  [cm/s2] e_logg      rms uncertainty on logg
#  47- 52  F6.3  Gyr       Age       Age
#  54- 58  F5.3  Gyr     e_Age       rms uncertainty on Age
#  60- 66  F7.3  Lsun      Lum       Luminosity
#  68- 73  F6.3  Lsun    e_Lum       rms uncertainty on Lum
#  75- 81  F7.2  pc        Dist      Distance
#  83- 88  F6.2  pc      e_Dist      rms uncertainty on Dist
#  90- 99  F10.8 ---       Prob      Target selection probability
#--------------------------------------------------------------------------------
#
#History:
#    From electronic version of the journal
#
#================================================================================
#(End)                                      Patricia Vannier [CDS]    08-Apr-2021
# names=['KIC', 'Mass', 'e_Mass', 'Rad', 'e_Rad', 'logg', 'e_logg', 'Age', 'e_Age', 'Lum', 'e_Lum', 'Dist', 'e_Dist', 'Prob']
# KIC Mass e_Mass Rad e_Rad logg e_logg Age e_Ae Lum e_Lum Dist e_Dist Prob
11037219 2.104 0.117  8.086 0.084 2.945 0.008  0.995 0.104  36.371  0.165  688.30   7.93 0.90802372
11251136 1.638 0.141 13.871 0.438 2.366 0.011  2.196 0.551  77.033  7.612 1680.89  61.27 0.22712624
11197101 1.007 0.133 10.710 0.624 2.377 0.016 10.264 4.906  56.642  7.115  831.32  43.34 0.16720161
11252233 1.351 0.135 12.086 0.412 2.406 0.012  4.383 1.791  64.224  6.249 1700.78  61.26 0.01071427
11251837 1.331 0.149 12.720 0.464 2.356 0.015  5.132 2.247  65.006  6.526 1057.01  39.05 0.18638585
11357931 1.324 0.093 11.219 0.346 2.465 0.012  4.004 1.294  61.217  5.943 1536.16  54.17 0.17189048
11197457 1.506 0.057 11.134 0.151 2.525 0.009  2.598 0.391  61.164  3.666 1585.79  39.15 0.28136827
11146230 0.922 0.145  9.987 0.549 2.397 0.022 12.209 5.940  57.057  5.223  988.45  36.48 0.14831965
11359175 1.252 0.070 10.965 0.224 2.454 0.011  5.091 1.235  57.578  2.628 1586.82  30.79 0.12092679
11358669 1.453 0.053  7.101 0.091 2.898 0.004  3.115 0.570  23.579  1.715  439.60  12.39 0.41168431
11252437 1.017 0.097 11.514 0.403 2.317 0.013 12.483 4.487  54.386  5.412 1180.16  43.52 0.06820371
11358607 1.233 0.081 11.094 0.286 2.444 0.010  4.680 1.540  61.945  5.196 2084.51  65.45 0.00490020
11199105 1.096 0.097 11.171 0.422 2.383 0.010 10.459 3.959  49.615  3.333 1411.91  36.94 0.06587935
11360886 2.447 0.200 13.503 0.471 2.571 0.009  0.601 0.146  91.566 10.728 1549.77  66.71 0.57689376
11200573 1.194 0.122 11.068 0.382 2.430 0.017  6.208 2.923  57.060  5.448 1669.42  59.17 0.01927633
11307599 1.320 0.095 11.146 0.374 2.470 0.013  3.498 1.107  65.685  6.055 1635.05  55.23 0.21932738
11308784 1.265 0.089  8.281 0.193 2.700 0.008  4.476 1.389  32.860  3.054 1055.19  36.72 0.24445206
11308660 1.359 0.071 11.094 0.217 2.479 0.009  4.200 0.940  56.006  3.406 1068.85  25.74 0.22821101
11361765 1.259 0.040  6.367 0.083 2.927 0.004  4.104 0.750  21.577  1.257  677.94  15.78 0.43529247
11414700 1.401 0.118 11.295 0.402 2.488 0.017  3.310 1.122  62.018  5.693 1346.66  45.20 0.22782736
12121377 1.580 0.117 11.320 0.262 2.542 0.010  2.096 0.448  64.713  5.005 1777.03  52.17 0.15808368
12122151 1.472 0.142  9.920 0.315 2.614 0.013  2.709 0.914  44.675  4.509  586.45  22.02 0.52299871
12121656 1.402 0.062 11.117 0.221 2.497 0.009  3.004 0.640  64.148  4.303 1599.53  42.65 0.22541565
11775041 1.239 0.114 11.032 0.426 2.454 0.018  3.920 1.411  69.342  7.790 1828.51  74.65 0.16495934
11924919 1.560 0.063  6.802 0.101 2.965 0.005  2.491 0.333  22.758  1.120  537.23  11.03 0.48346771
11974612 1.055 0.092  9.349 0.303 2.516 0.011  7.868 2.886  39.723  4.585 1480.20  72.63 0.11763413
11924806 2.021 0.114  7.880 0.250 2.948 0.003  1.000 0.141  38.117  3.214 1542.27  50.82 0.59262246
11824976 1.550 0.253 12.097 0.734 2.479 0.017  2.589 1.436  70.852 11.044 1690.34  93.11 0.19571773
11973853 1.493 0.060  4.998 0.071 3.215 0.006  2.506 0.359  14.176  0.762  763.44  17.28 0.54953784
12121207 1.265 0.205 12.380 0.960 2.360 0.010  4.957 3.733  76.839 12.907 1739.37 107.56 0.08963665
12120327 1.243 0.098 11.231 0.362 2.438 0.011  5.016 1.760  59.373  4.830  817.70  24.95 0.26623497
11823838 1.695 0.166 11.525 0.313 2.542 0.012  1.700 0.456  72.542  5.922 1348.64  41.23 0.49688011
11722424 1.647 0.184 15.519 0.691 2.272 0.013  2.286 0.865  91.232 11.860 1339.29  63.81 0.34989614
11670968 1.015 0.088  8.721 0.262 2.563 0.010  9.117 3.120  33.928  3.920 1481.41  73.45 0.09587663
12021906 1.553 0.054 11.195 0.169 2.533 0.007  2.595 0.303  58.104  2.871 1896.28  40.36 0.00636377
11971940 1.557 0.143 10.731 0.385 2.573 0.012  2.756 0.766  45.725  4.554  753.49  27.71 0.45814887
11872655 1.034 0.072 11.422 0.291 2.333 0.014 12.405 4.078  50.622  2.915 1628.42  37.57 0.00079668
11721374 1.259 0.058  8.461 0.175 2.682 0.007  5.622 1.416  30.079  2.516  936.55  29.18 0.18120516
11871718 1.087 0.088 10.736 0.305 2.413 0.012  8.530 3.042  54.441  3.024 1831.32  41.96 0.00104386
11971123 1.212 0.139 11.359 0.561 2.418 0.015  5.631 2.660  61.695  8.290 1286.84  62.53 0.16446714
11970987 1.703 0.179 11.346 0.382 2.564 0.011  1.752 0.438  66.627  6.087 1395.17  47.85 0.45390401
11821439 1.562 0.106 10.550 0.259 2.586 0.008  2.485 0.582  47.128  4.259 1023.38  34.49 0.39985291
11870991 1.056 0.078 10.572 0.257 2.414 0.012  7.686 2.655  59.242  4.261 1783.67  50.80 0.01800377
11819760 1.279 0.159 12.170 0.605 2.382 0.014  4.578 2.733  71.794  9.691 1248.66  62.19 0.20612319
11920678 1.353 0.080 11.126 0.261 2.475 0.007  3.732 1.009  51.935  4.161  816.83  24.46 0.32661348
11820688 1.640 0.248 12.012 0.576 2.495 0.021  2.511 1.264  67.007  8.540 1101.69  50.95 0.37847965
11769563 1.320 0.061  7.243 0.126 2.839 0.006  3.409 0.855  26.970  2.009 1390.07  39.71 0.24356637
11869095 1.591 0.166  9.861 0.344 2.653 0.012  2.615 0.796  39.749  4.237  784.27  29.95 0.45503860
11969378 1.413 0.063 11.145 0.206 2.495 0.009  3.395 0.876  59.582  4.408  611.72  17.32 0.39302156
11819363 1.239 0.081  9.095 0.214 2.615 0.008  3.943 1.088  40.356  3.793  493.81  17.27 0.46368137
11769182 1.296 0.069 10.149 0.165 2.538 0.006  4.694 0.763  41.716  2.271  844.41  17.96 0.26466440
11615890 1.395 0.066  5.219 0.081 3.145 0.007  3.422 0.804  14.132  1.189  966.29  30.62 0.27318084
11768570 1.312 0.085 11.134 0.277 2.467 0.012  4.205 1.277  59.306  4.124 2014.42  53.86 0.00096073
11966805 1.211 0.095 10.128 0.260 2.509 0.008  4.619 1.338  46.754  3.741 1656.96  51.69 0.16141382
12115227 0.951 0.039  5.720 0.082 2.901 0.005 10.636 2.556  16.868  1.473  429.26  14.10 0.30454734
12114999 1.486 0.091 11.319 0.273 2.512 0.009  2.299 0.523  68.249  5.829 1870.89  60.33 0.09882048
11868246 1.441 0.113 12.229 0.360 2.422 0.010  3.764 1.289  64.099  6.170 1605.56  57.40 0.13081000
11817405 1.432 0.120 11.997 0.365 2.435 0.011  2.906 0.884  61.824  4.843 1786.39  53.24 0.05276850
11767058 1.772 0.066 10.408 0.145 2.657 0.007  1.499 0.143  58.163  2.911 1014.66  21.50 0.59204910
11665692 2.410 0.279 10.734 0.348 2.756 0.012  0.955 0.366  58.248  7.436  541.30  25.10 0.82131817
11614827 1.309 0.251 11.515 1.129 2.448 0.011  3.887 1.886  70.351 15.636 1690.57 130.31 0.20559540
11716326 1.069 0.054  4.045 0.081 3.253 0.005 10.042 2.490   7.910  0.641  642.83  19.98 0.20878563
12418515 1.271 0.078 11.079 0.285 2.458 0.011  4.106 1.224  64.200  5.158 1868.82  57.00 0.02918399
12316494 1.180 0.191 11.618 0.689 2.388 0.023  6.180 3.647  66.984  9.721 1639.78  88.23 0.11037216
12418339 1.327 0.093 11.198 0.397 2.468 0.010  3.589 1.104  64.594  6.481 2049.73  74.54 0.01264491
12169845 1.775 0.150 14.048 0.456 2.392 0.010  1.689 0.496  79.699  7.779 1222.16  45.26 0.45716636
12217239 1.422 0.200 13.789 0.709 2.312 0.016  4.081 2.291  76.884 10.379 2010.57  98.94 0.00069356
12120230 1.203 0.092  9.011 0.264 2.608 0.010  4.818 1.695  38.411  3.854  993.18  37.42 0.25709245
12217154 2.052 0.179 11.978 0.390 2.589 0.016  1.199 0.287  74.476  8.295 1377.87  53.73 0.87899526
12168406 1.151 0.101  9.504 0.302 2.543 0.010  8.747 2.890  32.635  3.523 1208.49  50.25 0.07965040
12366461 1.460 0.088 10.736 0.249 2.540 0.008  3.089 0.776  47.483  3.994 1235.58  38.78 0.23751037
12366537 1.566 0.086 10.616 0.206 2.582 0.006  2.091 0.462  52.358  4.438  849.36  27.14 0.57058226
12470054 1.307 0.058  5.254 0.084 3.114 0.005  4.590 1.016  13.632  0.954  709.06  19.09 0.33002587
12070114 1.524 0.127 11.564 0.401 2.503 0.011  2.698 0.760  61.517  6.355 1189.87  45.16 0.31744691
12070650 1.487 0.055 11.135 0.166 2.520 0.009  2.595 0.451  63.232  3.939  952.50  23.82 0.42066463
12314927 1.223 0.261 17.228 1.523 2.053 0.020  5.684 3.919 111.073 27.297 1462.87 142.72 0.13299859
12314910 1.487 0.144 14.673 0.547 2.282 0.009  2.986 1.263  88.847 10.443 1704.99  72.69 0.20985606
12215647 1.460 0.112 10.038 0.288 2.597 0.011  3.300 0.962  42.392  3.614  861.07  27.77 0.33988992
12167521 1.237 0.060 10.951 0.224 2.452 0.009  4.710 1.125  61.473  3.988 1277.45  32.45 0.18541083
12216750 1.090 0.043  6.234 0.103 2.884 0.005  8.922 2.185  17.525  1.777  827.61  31.00 0.16136449
12117790 1.357 0.063  6.388 0.107 2.958 0.006  3.794 0.792  20.016  1.409  571.33  15.79 0.37655517
12164879 2.781 0.233 13.135 0.526 2.644 0.009  0.552 0.224 101.466 11.123 1418.93  56.13 0.61878375
12116393 1.124 0.054  7.898 0.154 2.693 0.006  7.834 1.720  26.457  2.640 1157.37  42.78 0.11881530
12117099 1.050 0.154 10.715 0.649 2.397 0.024  8.023 4.803  62.256  9.162  849.75  47.51 0.23437359
12067001 1.934 0.390 12.004 0.963 2.556 0.014  1.197 0.745  77.686 15.902 1476.29 106.59 0.77851193
10727789 1.402 0.047  5.320 0.058 3.132 0.004  2.982 0.444  15.425  1.199  983.82  25.28 0.35252190
10662618 1.155 0.092 11.116 0.315 2.413 0.012  6.713 2.748  57.387  4.429 1177.08  34.85 0.15233301
10793771 2.145 0.078  9.582 0.172 2.809 0.006  0.951 0.177  46.967  3.147  793.05  20.69 0.90971013
10728179 1.372 0.095 11.229 0.410 2.483 0.010  3.241 1.047  64.431  6.505  702.34  26.02 0.46421602
10793872 0.986 0.030  4.277 0.046 3.169 0.004 11.443 2.643   9.202  0.777  649.16  18.94 0.18153137
10858331 0.935 0.133 10.603 0.639 2.351 0.015 12.566 5.298  55.099  7.965 1614.99 104.54 0.05307366
10598558 1.651 0.118 11.359 0.211 2.547 0.007  1.999 0.355  65.809  4.336  908.95  23.48 0.53211129
10533369 1.931 0.593 12.437 1.504 2.531 0.033  2.027 1.716  74.274 20.406 1986.18 193.74 0.01621838
11028575 1.379 0.089 11.211 0.337 2.484 0.013  3.507 1.019  61.744  5.338 1687.71  54.37 0.11628116
11028372 1.086 0.086  9.604 0.284 2.508 0.011  7.127 2.352  41.656  4.069 1377.34  56.06 0.13137055
10796378 1.058 0.098  9.264 0.300 2.525 0.012  7.895 2.953  38.928  4.775 1491.18  76.08 0.11966857
10859779 1.431 0.069  7.759 0.123 2.814 0.006  3.436 0.794  27.218  2.306 1112.31  35.27 0.23482322
10859941 0.984 0.094 10.444 0.354 2.393 0.013 11.807 5.011  52.687  5.392 1209.62  49.93 0.08852502
10977629 1.206 0.116 12.995 0.519 2.293 0.012  7.321 3.069  65.645  6.404 1587.09  57.28 0.01715754
10977040 1.839 0.148 10.880 0.293 2.629 0.009  1.504 0.285  64.470  6.146 1955.60  69.23 0.11786895
10667966 1.053 0.091 10.644 0.339 2.408 0.012  7.562 3.315  61.180  5.469 1930.66  66.27 0.00905536
10667886 1.272 0.115 11.231 0.417 2.445 0.015  5.817 1.966  53.906  4.882 1236.00  41.81 0.13795712
10604255 1.078 0.139 11.070 0.526 2.381 0.022  9.405 4.690  55.369  6.399  665.02  29.29 0.21504260
10801063 0.957 0.032  4.023 0.046 3.210 0.004 12.597 2.560   8.125  0.700  342.23  10.04 0.23995679
10864711 1.109 0.073  9.270 0.204 2.550 0.008  7.439 1.886  36.116  2.422  875.89  24.64 0.17786783
10604460 1.097 0.107 11.160 0.470 2.382 0.012 10.459 4.302  50.546  4.638 1046.27  35.93 0.10549727
10670445 1.181 0.118 11.607 0.443 2.381 0.013  6.096 2.344  54.017  7.349 1016.87  56.48 0.19485236
10736390 2.698 0.131 11.307 0.245 2.760 0.006  0.500 0.114  72.209  4.789 1117.62  27.79 0.54849397
10735926 1.300 0.087 11.080 0.320 2.467 0.012  3.901 1.049  63.838  5.238 1315.04  40.91 0.21488271
10866694 1.148 0.120 11.101 0.418 2.407 0.016  8.611 3.644  52.456  4.688 1689.27  57.72 0.00245579
10866415 1.094 0.064  6.280 0.126 2.882 0.006  8.512 2.278  18.079  1.594  696.93  23.12 0.19574845
10802837 1.842 0.078 10.392 0.193 2.674 0.007  1.595 0.232  54.506  3.276  700.52  16.85 0.50171962
10979742 1.332 0.125  7.960 0.293 2.760 0.011  4.735 2.086  26.547  2.768 1028.04  35.98 0.19392216
11087371 1.283 0.079  5.551 0.132 3.057 0.007  5.323 1.409  14.270  1.020  352.06   9.69 0.30959413
11033302 1.368 0.175 11.407 0.525 2.469 0.020  3.404 1.559  67.967  8.200  801.58  35.42 0.42972604
11141358 1.069 0.149 11.396 0.569 2.353 0.020  8.484 5.124  64.467  8.492 1637.07  82.74 0.09603501
10206307 1.115 0.098 10.818 0.365 2.417 0.014  7.427 3.205  57.731  5.300 1328.32  46.58 0.12247157
10206840 1.131 0.188 11.489 0.706 2.371 0.023  8.438 4.838  62.066 10.858 1551.05 101.04 0.08373172
10468528 1.041 0.105 11.128 0.574 2.363 0.009  9.991 4.159  55.797  7.037 1125.40  56.96 0.12120927
10402819 1.822 0.102 10.605 0.195 2.652 0.008  1.596 0.253  57.149  5.003  902.20  30.12 0.51545670
10467570 1.227 0.082 11.075 0.251 2.437 0.010  6.504 1.668  52.102  3.415 1563.97  40.01 0.06011668
10402207 0.975 0.065  8.406 0.207 2.577 0.008 10.325 3.058  31.832  3.769 1314.10  69.75 0.12435105
10403323 1.039 0.121 11.136 0.618 2.360 0.012 10.020 4.332  56.048  7.324 1901.43 100.00 0.00059140
10272641 1.348 0.048  7.070 0.091 2.868 0.005  3.499 0.753  24.907  1.995 1076.87  32.36 0.28869574
10207321 0.980 0.056  7.208 0.144 2.714 0.007 10.649 2.943  24.102  2.271 1000.53  36.63 0.15818496
10207059 2.203 0.170  9.069 0.317 2.865 0.008  0.904 0.221  49.541  4.685 1564.17  53.43 0.54699567
10469976 2.436 0.464 12.336 0.981 2.636 0.029  0.853 0.462  82.836 19.373 1253.46 103.52 0.88973360
10599712 1.479 0.187 11.816 0.592 2.475 0.017  2.893 1.410  67.043  9.672 1337.76  69.70 0.26120807
10273236 1.439 0.094 11.935 0.285 2.442 0.008  2.879 0.886  60.032  5.038 1836.51  55.64 0.01984586
10666932 1.682 0.122 12.349 0.330 2.478 0.009  2.194 0.522  68.916  5.717 1445.31  44.62 0.32122819
10602976 1.289 0.060 11.028 0.199 2.465 0.008  4.094 1.004  62.161  4.597 1723.29  49.35 0.07660340
10602374 1.491 0.099 11.527 0.312 2.495 0.009  3.112 0.893  58.006  5.774 1611.89  57.35 0.13553731
10602015 1.231 0.053  4.741 0.073 3.176 0.005  5.330 1.251  11.733  0.953  618.45  19.12 0.31188787
10537376 1.133 0.077 10.793 0.228 2.426 0.011  7.091 2.175  56.229  4.091 1900.12  52.02 0.00072555
10474071 2.282 0.119  9.079 0.189 2.883 0.006  0.854 0.174  46.909  2.659 1525.56  35.39 0.68367165
10603170 1.578 0.123 11.378 0.304 2.529 0.010  2.409 0.535  61.032  6.560 1602.43  61.85 0.29026578
10603958 0.982 0.138 10.716 0.555 2.364 0.021 11.271 5.203  55.615  6.748 1357.05  68.02 0.08102751
10473692 1.098 0.054  6.316 0.108 2.876 0.006  8.335 2.057  18.423  1.731  900.08  31.28 0.15539792
11353313 1.290 0.043  5.827 0.076 3.017 0.005  3.500 0.557  19.204  1.264 1100.27  27.93 0.33274589
11509792 1.106 0.176 13.646 0.968 2.205 0.013  8.267 4.393  79.230 13.635 1241.21  89.76 0.11797435
11352756 0.992 0.073 10.741 0.282 2.367 0.011 12.923 3.553  49.608  3.434 1091.38  32.27 0.06529130
11404925 1.110 0.041 10.727 0.127 2.422 0.008  7.885 1.669  53.855  3.000 1958.01  47.47 0.00001309
11247049 1.348 0.143 11.774 0.442 2.438 0.014  3.894 1.612  65.601  7.592 1353.49  56.52 0.18629721
10922821 1.220 0.098 11.169 0.324 2.429 0.012  6.816 2.238  52.723  4.477 1753.07  55.78 0.00141750
11298714 1.438 0.106  8.946 0.216 2.693 0.009  3.568 0.970  31.563  2.456  931.51  27.82 0.25923429
11298371 1.298 0.056 11.007 0.162 2.467 0.006  4.902 0.972  54.961  3.133  837.58  18.29 0.25742912
11298561 1.375 0.073 11.133 0.245 2.483 0.009  3.891 1.056  57.390  4.629 1699.09  50.54 0.02507085
11085809 1.312 0.066 11.059 0.238 2.472 0.010  3.590 0.958  64.812  4.591 1825.69  49.98 0.06326908
11138375 1.298 0.174 11.662 0.615 2.432 0.016  4.388 1.911  64.670  8.506 1796.18  86.44 0.00877218
11031040 1.055 0.161 11.641 0.809 2.326 0.013 11.188 5.756  59.078 11.088 1181.18  82.83 0.08051196
11191557 2.051 0.223  9.942 0.380 2.765 0.013  1.093 0.247  57.064  8.251 1227.95  63.91 0.97071209
11244968 1.683 0.289 15.934 1.144 2.268 0.017  1.904 0.960 104.620 22.445 1662.68 123.19 0.37815608
11191444 1.161 0.128 12.237 0.486 2.326 0.012  7.103 3.034  56.897  8.046 1294.03  74.36 0.10408414
11244855 1.440 0.218 11.627 0.836 2.480 0.009  2.904 1.313  69.353 11.488 1904.29 113.05 0.03346446
11190322 1.275 0.100  8.980 0.255 2.635 0.009  5.714 1.721  32.310  3.349 1357.27  52.52 0.10676774
11084620 1.624 0.187 14.646 0.574 2.316 0.014  2.605 0.963  81.250  8.411 1945.86  74.35 0.00094375
11190768 1.068 0.033  3.971 0.048 3.268 0.004  9.680 1.909   7.712  0.497  624.59  16.24 0.21307224
11083701 1.126 0.111 11.119 0.392 2.397 0.014  8.262 4.103  55.874  5.508 1671.11  61.11 0.00668027
11084022 1.326 0.097 10.134 0.274 2.548 0.009  4.077 1.271  43.999  4.583 1244.86  47.88 0.20446659
11029423 1.133 0.057  7.153 0.130 2.783 0.006  8.084 1.731  21.961  1.551  371.55  10.28 0.26468439
11083613 0.952 0.039  6.033 0.091 2.853 0.005 11.756 2.214  17.709  1.095  900.53  22.60 0.15172532
11029396 1.030 0.102 10.913 0.460 2.364 0.017 11.997 4.206  50.270  4.471 1607.88  53.94 0.00238964
11136854 2.326 0.149  9.243 0.282 2.869 0.012  0.796 0.250  50.369  4.292 1128.96  36.29 0.82546595
11136578 1.224 0.054  6.796 0.143 2.860 0.004  5.880 1.167  20.717  1.275 1087.84  26.37 0.15049246
11136139 1.082 0.081  9.999 0.261 2.470 0.009  7.406 2.757  43.128  4.118 1594.33  65.77 0.09944624
11135910 1.022 0.116 10.885 0.486 2.375 0.009  7.584 3.318  53.677  8.328 1213.65  84.58 0.17909722
11189432 1.161 0.066  8.726 0.202 2.620 0.008  6.874 2.067  32.253  3.057 1305.82  47.81 0.10659816
11135168 1.614 0.050 10.954 0.149 2.569 0.006  2.003 0.232  61.619  3.121 1821.62  40.19 0.09066380
11188067 1.441 0.074 11.306 0.275 2.491 0.008  3.508 0.835  56.719  4.241 1169.67  34.09 0.21991925
11134982 1.566 0.073  7.168 0.121 2.922 0.006  2.410 0.424  24.953  1.509  483.02  11.61 0.51571142
11135286 1.403 0.094 11.480 0.288 2.469 0.010  4.014 1.162  55.406  3.284 1375.87  32.96 0.14655354
11081838 1.075 0.093 11.030 0.347 2.382 0.012 10.827 4.202  50.987  4.525 1648.65  55.91 0.00336571
11027005 1.735 0.115 10.825 0.292 2.614 0.012  1.754 0.307  59.094  5.852 1033.65  37.35 0.45631344
11027337 1.146 0.096 10.865 0.334 2.424 0.010  7.152 2.767  46.917  5.666 1423.19  67.69 0.09342359
11241927 1.699 0.118 14.898 0.403 2.318 0.009  1.994 0.503  84.041  7.729  707.37  24.32 0.45710750
11133969 1.132 0.293 11.667 1.152 2.374 0.031  8.475 5.499  63.340 14.467  643.64  54.02 0.25558460
11026472 1.755 0.157  8.015 0.247 2.875 0.010  1.748 0.426  31.249  2.878  856.28  29.27 0.46273526
10792949 1.612 0.054 11.119 0.159 2.555 0.007  2.496 0.300  54.927  2.684  772.49  15.82 0.44372153
10857953 1.146 0.086 10.912 0.286 2.422 0.012  7.810 2.543  52.682  3.138  938.50  21.93 0.15249215
10971893 1.318 0.101 11.252 0.323 2.457 0.013  5.012 1.478  54.742  4.406 1956.86  60.22 0.00014561
11612603 1.079 0.050  6.556 0.116 2.837 0.006  9.349 2.000  18.945  1.681  857.32  27.58 0.15198343
11509608 1.209 0.041 11.061 0.138 2.436 0.005  4.506 0.867  63.362  2.806 1742.26  33.74 0.19526300
11509277 1.748 0.237 11.506 0.503 2.562 0.021  1.988 0.722  62.728  7.262 1253.52  53.06 0.38629161
11561379 1.067 0.044  6.290 0.097 2.868 0.005  7.697 1.784  19.810  1.533 1207.37  35.58 0.14490719
11456449 1.531 0.084  6.749 0.128 2.964 0.007  2.497 0.496  22.878  1.822 1044.01  31.46 0.39807519
11508970 1.317 0.192 11.546 0.658 2.441 0.022  4.308 2.536  66.293 10.018 1549.29  84.94 0.15605521
11612200 1.086 0.102 10.770 0.385 2.410 0.014  7.435 3.645  60.116  5.358 2071.54  70.73 0.00427719
11559818 2.098 0.443 13.973 0.871 2.468 0.022  1.294 0.435  77.684 12.983 1253.05  64.95 0.82969180
11403437 1.223 0.060 10.921 0.187 2.446 0.008  5.508 1.248  56.875  2.224 1607.16  28.66 0.09065062
11351140 1.081 0.060 10.645 0.206 2.416 0.009  7.392 2.273  59.147  3.703 1192.80  29.86 0.15909980
11350954 2.109 0.416 18.431 1.141 2.232 0.024  1.089 0.528 149.459 25.005 1925.14 115.76 0.14641162
11455925 1.095 0.109 11.010 0.528 2.395 0.010  7.910 4.069  59.025  7.402 1586.06  75.60 0.09999541
11661782 1.567 0.099  9.352 0.181 2.692 0.007  1.910 0.353  44.471  3.524 1150.90  34.45 0.52098759
11559478 1.739 0.153 12.341 0.325 2.483 0.012  1.602 0.360  81.601  5.385 1637.75  41.90 0.51058414
11455176 1.350 0.120 11.302 0.401 2.472 0.013  3.300 1.148  66.290  6.782 1677.74  63.50 0.22576720
11403129 2.062 0.256 12.801 0.612 2.534 0.015  1.400 0.287  71.543 11.509 2270.30 129.99 0.04879580
11401466 1.244 0.100 11.074 0.350 2.448 0.013  4.891 1.831  61.103  6.170 1464.97  54.71 0.15151090
11453627 1.059 0.099 10.672 0.342 2.406 0.014  9.541 3.763  52.988  3.753 1387.04  39.10 0.07505187
